community,parish,sub_county,source_id,repair_date,population_served,well_depth,static_water_depth,pump_installation_depth,well_yield_(m^3/hr)
Kiduula,KABUNYATA,Kamira,850,2021-10-28,120,139.23,17.5,51,0.04
Wantula,SEKAMULI,Bamunanika,846,2021-10-28,132,54.96,31.9,53.61,0.12
Kikondere,KYAWANGABI,Butuntumula,953,2021-10-28,123,79.5,16.74,27,0.54
Nakabululu,BUBUUBI,Zirobwe,848,2021-10-28,68,82.7,26.48,67,0.03
Lukowe,KIBENGO,Kikyusa,849,2021-10-28,90,121.23,24.7,41.47,0.03
Mpangati,BUKIMU,Zirobwe,847,2021-10-28,149,42.8,17.07,41.7,0.12
Mpeeka ,KASWA,Kamira,1018,2021-11-25,103,86.4,33.6,60.6,6.24
Kirimantungo ,MAZZI,Kamira,1022,2021-11-28,34,45.4,11.5,30.3,5.16
Nanteeko ,NAMBEERE,Kamira,1024,2021-11-29,69,63.6,23.6,33.3,8.34
Kamira,KASWA,Kamira,1020,2021-11-27,17,56,26.06,39.39,6.42
Butto A ,KYAMPISI,Bamunanika,1025,2021-11-30,119,45.1,16.1,27.4,4.68
Keera,KATAGWE,Kamira,1019,2021-11-27,103,88.7,32,60.6,1.86
Bakatadde ,NAMBEERE,Kamira,1023,2021-11-28,309,46,18,29,4.5
Kyajjagali,MABUYE,Kamira,1021,2021-11-29,172,63.6,30.3,45,2.58
Ssekamuli,SEKAMULI,Bamunanika,1027,2021-12-03,278,33.3,6.4,24.2,8.4
Ggavu,KIBIRIZI,Bamunanika,1026,2021-12-03,304,67.9,18.2,30.3,13.86
Wabitunda ,KIBANYI,Bamunanika,720,2021-12-15,396,82.3,20.12,33.53,6
Kibanyi ,KIBANYI,Bamunanika,721,2021-12-15,819,34.75,23.77,27.43,6
Kibanyi ,KIBANYI,Bamunanika,724,2021-12-23,93,42.06,14.63,21.34,6
Kanjuki ,KIBANYI,Bamunanika,723,2021-12-23,383,42.06,22.56,36.58,4.5
Kkalwe ,KIBANYI,Bamunanika,725,2021-12-29,159,48.77,18.29,3.05,0.42
Kkalwe,KIBANYI,Bamunanika,726,2021-12-30,66,67.97,9.14,21.34,5.16
Galikwoleka ,NAMBEERE,Kamira,722,2021-12-31,343,37.49,12.19,24.38,6
Mazzi Nakyefumula,MAZZI,Kamira,729,2022-01-01,618,58.52,24.08,36.58,9
Mazzi Wambiito,MAZZI,Kamira,1028,2022-01-13,137,58.83,22.25,36.58,9
Mazzi Wambiito,MAZZI,Kamira,1031,2022-01-15,584,46.63,16.15,33.53,6
Kakira-Kibanga ,MAZZI,Kamira,1030,2022-01-14,137,34.75,10.67,27.43,3.6
Kyampologoma ,MABUYE,Kamira,1029,2022-01-14,841,86.87,35.05,60.96,1.8
